"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","HM00108598","HM00110618","L2074","YA00082404","egd-e"
"comGC","","ComG operon protein 3","5","5","1","1","1992","","","","323","323","323","HM00108598_01707","HM00110618_01237","HL2074_00585","YA00082404_01325","EGD-e_01373"
"gmuR_2","","HTH-type transcriptional regulator GmuR","5","5","1","1","865","","","","728","728","728","HM00108598_02692","HM00110618_02982","HL2074_01348","YA00082404_00965","EGD-e_00591"
"rodA_3","","Peptidoglycan glycosyltransferase RodA","5","5","1","1","3460","","","","1175","1175","1175","HM00108598_00881","HM00110618_02087","HL2074_02398","YA00082404_01184","EGD-e_02514"
"btuD_4","","Vitamin B12 import ATP-binding protein BtuD","5","5","1","1","2072","","","","986","986","986","HM00108598_02549","HM00110618_00689","HL2074_00508","YA00082404_03035","EGD-e_01450"
"group_2965","","hypothetical protein","5","5","1","1","1605","","","","611","611","611","HM00108598_00699","HM00110618_00572","HL2074_00920","YA00082404_00361","EGD-e_01021"
"gltR_1","","HTH-type transcriptional regulator GltR","5","5","1","1","1617","","","","878","878","878","HM00108598_00711","HM00110618_00584","HL2074_00908","YA00082404_00349","EGD-e_01033"
"ansZ","","L-asparaginase 2","5","5","1","1","238","","","","962","962","962","HM00108598_00433","HM00110618_00743","HL2074_01949","YA00082404_00681","EGD-e_01998"
"group_2968","","hypothetical protein","5","5","1","1","2595","","","","599","599","599","HM00108598_00028","HM00110618_00973","HL2074_02873","YA00082404_00245","EGD-e_02932"
"group_2969","","hypothetical protein","5","5","1","1","2811","","","","1205","1205","1205","HM00108598_00800","HM00110618_00844","HL2074_02478","YA00082404_00762","EGD-e_02594"
"group_297","","hypothetical protein","5","5","1","1","3423","","","","608","608","608","HM00108598_00842","HM00110618_00802","HL2074_02436","YA00082404_01145","EGD-e_02552"
"hag","","Flagellin","5","5","1","1","731","","","","863","863","863","HM00108598_01327","HM00110618_01412","HL2074_01229","YA00082404_02055","EGD-e_00710"
"puuD","","Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD","5","5","1","1","394","","","","734","734","734","HM00108598_00287","HM00110618_02642","HL2074_01805","YA00082404_00535","EGD-e_01852"
"citZ","","Citrate synthase 2","5","5","1","1","2228","","","","1121","1121","1121","HM00108598_01001","HM00110618_01468","HL2074_00362","YA00082404_02095","EGD-e_01596"
"ohyA","","Oleate hydratase","5","5","1","1","970","","","","1700","1700","1700","HM00108598_01845","HM00110618_01798","HL2074_01445","YA00082404_01060","EGD-e_00497"
"rsbT","","Serine/threonine-protein kinase RsbT","5","5","1","1","1492","","","","416","416","416","HM00108598_00586","HM00110618_01381","HL2074_01033","YA00082404_00474","EGD-e_00909"
"manY","","PTS system mannose-specific EIIC component","5","5","1","1","645","","","","812","815","813","HM00108598_01249","HM00110618_01871","HL2074_01139","YA00082404_01645","EGD-e_00800"
"liaS","","Sensor histidine kinase LiaS","5","5","1","1","1628","","","","1058","1058","1058","HM00108598_00722","HM00110618_00595","HL2074_00897","YA00082404_00338","EGD-e_01044"
"atpD_3","","ATP synthase subunit beta, sodium ion specific","5","5","1","1","3648","","","","1370","1370","1370","HM00108598_02141","HM00110618_02605","HL2074_00104","YA00082404_01877","EGD-e_00092"
"gmuE","","Putative fructokinase","5","5","1","1","608","","","","872","872","872","HM00108598_00509","HM00110618_02501","HL2074_01109","YA00082404_02692","EGD-e_00831"
"essB","","ESAT-6 secretion machinery protein EssB","5","5","1","1","2693","","","","1196","1196","1196","HM00108598_02775","HM00110618_02442","HL2074_00060","YA00082404_02751","EGD-e_00060"
"group_298","","hypothetical protein","5","5","1","1","3425","","","","926","926","926","HM00108598_00844","HM00110618_00800","HL2074_02434","YA00082404_01147","EGD-e_02550"
"group_2980","","hypothetical protein","5","5","1","1","2070","","","","1037","1037","1037","HM00108598_02551","HM00110618_00691","HL2074_00510","YA00082404_03033","EGD-e_01448"
"group_2981","","hypothetical protein","5","5","1","1","1554","","","","821","821","821","HM00108598_00651","HM00110618_00524","HL2074_00968","YA00082404_00409","EGD-e_00973"
"bfmBAB","","2-oxoisovalerate dehydrogenase subunit beta","5","5","1","1","2020","","","","983","983","983","HM00108598_01735","HM00110618_01209","HL2074_00557","YA00082404_01297","EGD-e_01401"
"stp","","Serine/threonine phosphatase stp","5","5","1","1","365","","","","758","758","758","HM00108598_00313","HM00110618_00212","HL2074_01831","YA00082404_00561","EGD-e_01878"
"ybbH_2","","putative HTH-type transcriptional regulator YbbH","5","5","1","1","924","","","","752","752","752","HM00108598_01802","HM00110618_01174","HL2074_01401","YA00082404_01017","EGD-e_00538"
"sasA","","Adaptive-response sensory-kinase SasA","5","5","1","1","3467","","","","1142","1142","1142","HM00108598_00887","HM00110618_02093","HL2074_02392","YA00082404_01190","EGD-e_02508"
"group_2986","","tRNA-Glu(ttc)","5","5","1","1","3150","","","","72","72","72","HM00108598_01630","HM00110618_02949","HL2074_02148","YA00082404_03065","EGD-e_02191"
"group_2987","","tRNA-Glu(ttc)","5","5","1","1","3523","","","","71","71","71","HM00108598_02196","HM00110618_03015","HL2074_02334","YA00082404_02237","EGD-e_02446"
"yclM","","Aspartokinase 3","5","5","1","1","3511","","","","1361","1361","1361","HM00108598_02872","HM00110618_02281","HL2074_02350","YA00082404_02936","EGD-e_02462"
"group_299","","hypothetical protein","5","5","1","1","3440","","","","908","908","908","HM00108598_00859","HM00110618_00785","HL2074_02419","YA00082404_01162","EGD-e_02535"
"group_2990","","hypothetical protein","5","5","1","1","1606","","","","791","791","791","HM00108598_00700","HM00110618_00573","HL2074_00919","YA00082404_00360","EGD-e_01022"
"flgE","","Flagellar hook protein FlgE","5","5","1","1","723","","","","1235","1235","1235","HM00108598_01320","HM00110618_01419","HL2074_01222","YA00082404_02048","EGD-e_00717"
"asnB","","Asparagine synthetase [glutamine-hydrolyzing] 1","5","5","1","1","2331","","","","1865","1865","1865","HM00108598_02597","HM00110618_01886","HL2074_00267","YA00082404_02281","EGD-e_01691"
"group_2993","","hypothetical protein","5","5","1","1","2293","","","","437","437","437","HM00108598_00944","HM00110618_01096","HL2074_00303","YA00082404_01529","EGD-e_01655"
"glcU_3","","Glucose uptake protein GlcU","5","5","1","1","1031","","","","857","857","857","HM00108598_02109","HM00110618_01981","HL2074_01482","YA00082404_01698","EGD-e_00438"
"group_2995","","hypothetical protein","5","5","1","1","589","","","","911","911","911","HM00108598_00525","HM00110618_02485","HL2074_01093","YA00082404_02676","EGD-e_00849"
"group_2996","","tRNA-Pro(tgg)","5","5","1","1","1262","","","","73","73","73","HM00108598_03070","HM00110618_03087","HL2074_01679","YA00082404_03142","EGD-e_00237"
"group_2997","","tRNA-Pro(tgg)","5","5","1","1","2357","","","","73","73","73","HM00108598_02564","HM00110618_01919","HL2074_00234","YA00082404_02248","EGD-e_01724"
"relA","","GTP pyrophosphokinase","5","5","1","1","2182","","","","2216","2216","2216","HM00108598_01045","HM00110618_01312","HL2074_00406","YA00082404_01981","EGD-e_01552"
"group_3","","hypothetical protein","5","5","1","1","2588","","","","257","323","283","HM00108598_00035","HM00110618_00966","HL2074_02866","YA00082404_00238","EGD-e_02925"
"ybhF","","putative multidrug ABC transporter ATP-binding protein YbhF","5","5","1","1","1526","","","","473","722","672","HM00108598_00624","HM00110618_02137","HL2074_00997","YA00082404_00436","EGD-e_00945"
"group_300","","hypothetical protein","5","5","1","1","3441","","","","3275","3275","3275","HM00108598_00860","HM00110618_00784","HL2074_02418","YA00082404_01163","EGD-e_02534"
"celA_2","","PTS system cellobiose-specific EIIB component","5","5","1","1","1082","","","","302","302","302","HM00108598_02514","HM00110618_02211","HL2074_01531","YA00082404_02419","EGD-e_00387"
"group_3004","","hypothetical protein","5","5","1","1","1896","","","","464","464","464","HM00108598_01077","HM00110618_02766","HL2074_00673","YA00082404_02733","EGD-e_01285"
"opuCA","","Carnitine transport ATP-binding protein OpuCA","5","5","1","1","2079","","","","1193","1193","1193","HM00108598_02542","HM00110618_00682","HL2074_00501","YA00082404_01432","EGD-e_01457"
"sipS","","Signal peptidase I S","5","5","1","1","1911","","","","542","542","542","HM00108598_01862","HM00110618_02404","HL2074_00659","YA00082404_02656","EGD-e_01299"
"eutQ","","Ethanolamine utilization protein EutQ","5","5","1","1","1816","","","","443","443","443","HM00108598_01154","HM00110618_01944","HL2074_00746","YA00082404_00906","EGD-e_01212"
"gmk","","Guanylate kinase","5","5","1","1","358","","","","617","620","618","HM00108598_00319","HM00110618_00218","HL2074_01837","YA00082404_00567","EGD-e_01884"
"group_3009","","hypothetical protein","5","5","1","1","2637","","","","1106","1106","1106","HM00108598_02470","HM00110618_02695","HL2074_00013","YA00082404_02967","EGD-e_00013"
"group_301","","hypothetical protein","5","5","1","1","3443","","","","3935","3935","3935","HM00108598_00862","HM00110618_00782","HL2074_02416","YA00082404_01165","EGD-e_02532"
"kdpA","","Potassium-transporting ATPase potassium-binding subunit","5","5","1","1","2956","","","","1685","1685","1685","HM00108598_00176","HM00110618_00094","HL2074_02726","YA00082404_00098","EGD-e_02780"
"ndoA","","Endoribonuclease EndoA","5","5","1","1","1489","","","","344","344","344","HM00108598_00583","HM00110618_01378","HL2074_01036","YA00082404_00477","EGD-e_00906"
"nrdD","","Anaerobic ribonucleoside-triphosphate reductase","5","5","1","1","1201","","","","2132","2150","2146","HM00108598_01496","HM00110618_01009","HL2074_01623","YA00082404_02292","EGD-e_00291"
"liaF","","Protein LiaF","5","5","1","1","1627","","","","713","713","713","HM00108598_00721","HM00110618_00594","HL2074_00898","YA00082404_00339","EGD-e_01043"
"lysC_1","","Aspartokinase 2","5","5","1","1","1867","","","","1214","1214","1214","HM00108598_01107","HM00110618_02018","HL2074_00698","YA00082404_00859","EGD-e_01260"
"yabA","","Initiation-control protein YabA","5","5","1","1","3718","","","","389","389","389","HM00108598_01568","HM00110618_01505","HL2074_00160","YA00082404_01078","EGD-e_00162"
"cysE","","Serine acetyltransferase","5","5","1","1","1249","","","","614","614","614","HM00108598_01540","HM00110618_01053","HL2074_01665","YA00082404_02871","EGD-e_00251"
"yvgN_1","","Glyoxal reductase","5","5","1","1","2935","","","","842","842","842","HM00108598_00156","HM00110618_00113","HL2074_02744","YA00082404_00117","EGD-e_02800"
"fecE","","Fe(3+) dicitrate transport ATP-binding protein FecE","5","5","1","1","335","","","","722","722","722","HM00108598_00341","HM00110618_00240","HL2074_01859","YA00082404_00589","EGD-e_01906"
"rluD_2","","Ribosomal large subunit pseudouridine synthase D","5","5","1","1","341","","","","911","911","911","HM00108598_00335","HM00110618_00234","HL2074_01853","YA00082404_00583","EGD-e_01900"
"group_302","","hypothetical protein","5","5","1","1","3445","","","","569","569","569","HM00108598_00866","HM00110618_00778","HL2074_02413","YA00082404_01169","EGD-e_02529"
"ftsE","","Cell division ATP-binding protein FtsE","5","5","1","1","2813","","","","686","686","686","HM00108598_00798","HM00110618_00846","HL2074_02480","YA00082404_00764","EGD-e_02596"
"group_3021","","hypothetical protein","5","5","1","1","856","","","","1172","1172","1172","HM00108598_02052","HM00110618_02418","HL2074_01339","YA00082404_01755","EGD-e_00600"
"rplM","","50S ribosomal protein L13","5","5","1","1","3044","","","","437","437","437","HM00108598_00261","HM00110618_00009","HL2074_02641","YA00082404_00013","EGD-e_02695"
"group_3023","","hypothetical protein","5","5","1","1","836","","","","386","386","386","HM00108598_02033","HM00110618_01661","HL2074_01320","YA00082404_01774","EGD-e_00619"
"hisI","","Phosphoribosyl-AMP cyclohydrolase","5","5","1","1","883","","","","317","317","317","HM00108598_02679","HM00110618_01135","HL2074_01361","YA00082404_00978","EGD-e_00578"
"group_3025","","NADH oxidase","5","5","1","1","959","","","","1994","1994","1994","HM00108598_01834","HM00110618_01787","HL2074_01437","YA00082404_01049","EGD-e_00505"
"mreC","","Cell shape-determining protein MreC","5","5","1","1","2206","","","","887","887","887","HM00108598_01021","HM00110618_01336","HL2074_00382","YA00082404_01957","EGD-e_01576"
"uppS","","Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)","5","5","1","1","1961","","","","758","758","758","HM00108598_01904","HM00110618_02383","HL2074_00615","YA00082404_01355","EGD-e_01343"
"group_3028","","hypothetical protein","5","5","1","1","2489","","","","752","752","752","HM00108598_00124","HM00110618_00145","HL2074_02776","YA00082404_00149","EGD-e_02832"
"lexA","","LexA repressor","5","5","1","1","1946","","","","614","614","614","HM00108598_01892","HM00110618_02533","HL2074_00628","YA00082404_02854","EGD-e_01330"
"group_303","","hypothetical protein","5","5","1","1","3450","","","","410","410","410","HM00108598_00871","HM00110618_00773","HL2074_02408","YA00082404_01174","EGD-e_02524"
"metQ_1","","D-methionine-binding lipoprotein MetQ","5","5","1","1","1194","","","","821","821","821","HM00108598_01490","HM00110618_01003","HL2074_01617","YA00082404_02544","EGD-e_00297"
"group_3031","","hypothetical protein","5","5","1","1","3717","","","","833","833","833","HM00108598_01567","HM00110618_01504","HL2074_00159","YA00082404_01077","EGD-e_00161"
"rpoE","","DNA-directed RNA polymerase subunit delta","5","5","1","1","2874","","","","536","536","536","HM00108598_00746","HM00110618_00880","HL2074_02534","YA00082404_00816","EGD-e_02650"
"yfhP","","putative protein YfhP","5","5","1","1","1299","","","","980","980","980","HM00108598_02611","HM00110618_01540","HL2074_01697","YA00082404_02533","EGD-e_01742"
"nagA_1","","N-acetylglucosamine-6-phosphate deacetylase","5","5","1","1","1559","","","","1133","1133","1133","HM00108598_00656","HM00110618_00529","HL2074_00963","YA00082404_00404","EGD-e_00978"
"topA","","DNA topoisomerase 1","5","5","1","1","1915","","","","2078","2078","2078","HM00108598_01866","HM00110618_02400","HL2074_00655","YA00082404_02660","EGD-e_01303"
"treR","","HTH-type transcriptional regulator TreR","5","5","1","1","1891","","","","713","713","713","HM00108598_01081","HM00110618_02762","HL2074_00677","YA00082404_02729","EGD-e_01281"
"rplF","","50S ribosomal protein L6","5","5","1","1","3022","","","","536","536","536","HM00108598_00241","HM00110618_00029","HL2074_02661","YA00082404_00033","EGD-e_02715"
"msrB","","Peptide methionine sulfoxide reductase MsrB","5","5","1","1","325","","","","437","437","437","HM00108598_00351","HM00110618_00250","HL2074_01869","YA00082404_00599","EGD-e_01916"
"cheV","","Chemotaxis protein CheV","5","5","1","1","732","","","","908","908","908","HM00108598_01328","HM00110618_01411","HL2074_01230","YA00082404_02056","EGD-e_00709"
"group_304","","hypothetical protein","5","5","1","1","3452","","","","305","308","306","HM00108598_00873","HM00110618_02079","HL2074_02406","YA00082404_01176","EGD-e_02522"
"group_3040","","putative ABC transporter ATP-binding protein","5","5","1","1","3665","","","","1742","1742","1742","HM00108598_02158","HM00110618_01702","HL2074_00119","YA00082404_01860","EGD-e_00107"
"clpP_1","","ATP-dependent Clp protease proteolytic subunit","5","5","1","1","1763","","","","572","572","572","HM00108598_01202","HM00110618_01747","HL2074_00794","YA00082404_00954","EGD-e_01163"
"qoxB","","Quinol oxidase subunit 1","5","5","1","1","2638","","","","1979","1979","1979","HM00108598_02469","HM00110618_02694","HL2074_00014","YA00082404_02968","EGD-e_00014"
"ilvD","","Dihydroxy-acid dehydratase","5","5","1","1","193","","","","1694","1694","1694","HM00108598_00470","HM00110618_00706","HL2074_01992","YA00082404_00718","EGD-e_02041"
"cshB","","DEAD-box ATP-dependent RNA helicase CshB","5","5","1","1","2103","","","","1307","1307","1307","HM00108598_02520","HM00110618_00660","HL2074_00479","YA00082404_01454","EGD-e_01479"
"rpsD","","30S ribosomal protein S4","5","5","1","1","2261","","","","602","602","602","HM00108598_00972","HM00110618_01068","HL2074_00333","YA00082404_01501","EGD-e_01625"
"rlmN","","putative dual-specificity RNA methyltransferase RlmN","5","5","1","1","969","","","","1103","1103","1103","HM00108598_01844","HM00110618_01797","HL2074_01444","YA00082404_01059","EGD-e_00498"
"group_3047","","hypothetical protein","5","5","1","1","2040","","","","950","950","950","HM00108598_01754","HM00110618_01190","HL2074_00538","YA00082404_02471","EGD-e_01420"
"gsiC","","Glutathione transport system permease protein GsiC","5","5","1","1","3684","","","","950","950","950","HM00108598_02186","HM00110618_01674","HL2074_00137","YA00082404_01832","EGD-e_00135"
"fieF_2","","Ferrous-iron efflux pump FieF","5","5","1","1","3465","","","","875","875","875","HM00108598_00885","HM00110618_02091","HL2074_02394","YA00082404_01188","EGD-e_02510"
"gadB_1","","Glutamate decarboxylase","5","5","1","1","3453","","","","1403","1403","1403","HM00108598_00874","HM00110618_02080","HL2074_02405","YA00082404_01177","EGD-e_02521"
"dagK_3","","Diacylglycerol kinase","5","5","1","1","653","","","","929","929","929","HM00108598_01256","HM00110618_01878","HL2074_01147","YA00082404_01652","EGD-e_00792"
"mogR","","Motility gene repressor MogR","5","5","1","1","747","","","","920","920","920","HM00108598_01343","HM00110618_03000","HL2074_01245","YA00082404_03003","EGD-e_00694"
"group_3052","","hypothetical protein","5","5","1","1","3533","","","","470","473","471","HM00108598_02211","HM00110618_00503","HL2074_02319","YA00082404_02222","EGD-e_02430"
"nsrR","","HTH-type transcriptional repressor NsrR","5","5","1","1","798","","","","416","416","416","HM00108598_02005","HM00110618_01633","HL2074_01287","YA00082404_01802","EGD-e_00652"
"tsaD","","tRNA N6-adenosine threonylcarbamoyltransferase","5","5","1","1","91","","","","1022","1022","1022","HM00108598_01409","HM00110618_00360","HL2074_02088","YA00082404_01940","EGD-e_02133"
"araQ_2","","L-arabinose transport system permease protein AraQ","5","5","1","1","1459","","","","833","833","833","HM00108598_00555","HM00110618_01350","HL2074_01063","YA00082404_00505","EGD-e_00879"
"group_3056","","hypothetical protein","5","5","1","1","2068","","","","1244","1244","1244","HM00108598_02553","HM00110618_00693","HL2074_00512","YA00082404_03031","EGD-e_01446"
"rpoB","","DNA-directed RNA polymerase subunit beta","5","5","1","1","1229","","","","3554","3554","3554","HM00108598_01519","HM00110618_01032","HL2074_01646","YA00082404_02315","EGD-e_00270"
"glcK","","Glucokinase","5","5","1","1","1985","","","","968","968","968","HM00108598_01928","HM00110618_02910","HL2074_00591","YA00082404_01331","EGD-e_01367"
"bglH_3","","Aryl-phospho-beta-D-glucosidase BglH","5","5","1","1","1160","","","","1415","1415","1415","HM00108598_02727","HM00110618_02248","HL2074_01586","YA00082404_02961","EGD-e_00331"
"group_306","","hypothetical protein","5","5","1","1","3455","","","","164","164","164","HM00108598_00876","HM00110618_02082","HL2074_02403","YA00082404_01179","EGD-e_02519"
"prfC","","Peptide chain release factor 3","5","5","1","1","1594","","","","1568","1568","1568","HM00108598_00689","HM00110618_00562","HL2074_00930","YA00082404_00371","EGD-e_01011"
"group_3061","","hypothetical protein","5","5","1","1","718","","","","1166","1166","1166","HM00108598_01315","HM00110618_01424","HL2074_01217","YA00082404_02043","EGD-e_00722"
"gmuC_2","","PTS system oligo-beta-mannoside-specific EIIC component","5","5","1","1","1502","","","","1286","1286","1286","HM00108598_00600","HM00110618_01395","HL2074_01021","YA00082404_00460","EGD-e_00921"
"azoR4","","FMN-dependent NADH-azoreductase 4","5","5","1","1","828","","","","626","626","626","HM00108598_02025","HM00110618_01653","HL2074_01312","YA00082404_01782","EGD-e_00627"
"oppD","","Oligopeptide transport ATP-binding protein OppD","5","5","1","1","3220","","","","1076","1076","1076","HM00108598_01698","HM00110618_02730","HL2074_02215","YA00082404_01281","EGD-e_02258"
"queT","","Queuosine precursor transporter QueT","5","5","1","1","1467","","","","488","488","488","HM00108598_00562","HM00110618_01357","HL2074_01057","YA00082404_00498","EGD-e_00885"
"pduU","","Propanediol utilization protein PduU","5","5","1","1","1769","","","","350","350","350","HM00108598_01197","HM00110618_01742","HL2074_00789","YA00082404_00949","EGD-e_01169"
"dnaJ","","Chaperone protein DnaJ","5","5","1","1","2126","","","","1130","1133","1131","HM00108598_02659","HM00110618_00638","HL2074_00457","YA00082404_01476","EGD-e_01501"
"gbuA","","Glycine betaine/carnitine transport ATP-binding protein GbuA","5","5","1","1","1621","","","","1193","1193","1193","HM00108598_00715","HM00110618_00588","HL2074_00904","YA00082404_00345","EGD-e_01037"
"gbuB","","Glycine betaine/carnitine transport permease protein GbuB","5","5","1","1","1622","","","","848","848","848","HM00108598_00716","HM00110618_00589","HL2074_00903","YA00082404_00344","EGD-e_01038"
"mgsR","","Regulatory protein MgsR","5","5","1","1","3461","","","","353","353","353","HM00108598_00882","HM00110618_02088","HL2074_02397","YA00082404_01185","EGD-e_02513"
"rnj2","","Ribonuclease J 2","5","5","1","1","2086","","","","1667","1667","1667","HM00108598_02536","HM00110618_00676","HL2074_00495","YA00082404_01438","EGD-e_01463"
"catM","","HTH-type transcriptional regulator CatM","5","5","1","1","956","","","","908","908","908","HM00108598_01831","HM00110618_01784","HL2074_01434","YA00082404_01046","EGD-e_00508"
"group_3072","","hypothetical protein","5","5","1","1","894","","","","842","842","842","HM00108598_02668","HM00110618_01146","HL2074_01372","YA00082404_00989","EGD-e_00567"
"group_3073","","hypothetical protein","5","5","1","1","2886","","","","632","632","632","HM00108598_00734","HM00110618_00868","HL2074_02546","YA00082404_00828","EGD-e_02662"
"group_3074","","hypothetical protein","5","5","1","1","2967","","","","368","368","368","HM00108598_00187","HM00110618_00083","HL2074_02715","YA00082404_00087","EGD-e_02769"
"truA","","tRNA pseudouridine synthase A","5","5","1","1","3043","","","","746","746","746","HM00108598_00260","HM00110618_00010","HL2074_02642","YA00082404_00014","EGD-e_02696"
"ctaB2","","Protoheme IX farnesyltransferase 2","5","5","1","1","110","","","","905","905","905","HM00108598_01391","HM00110618_00378","HL2074_02070","YA00082404_01922","EGD-e_02115"
"tpiA","","Triosephosphate isomerase","5","5","1","1","3430","","","","755","755","755","HM00108598_00849","HM00110618_00795","HL2074_02429","YA00082404_01152","EGD-e_02545"
"hom","","Homoserine dehydrogenase","5","5","1","1","2858","","","","1286","1286","1286","HM00108598_00758","HM00110618_00892","HL2074_02521","YA00082404_00804","EGD-e_02637"
"tmk","","Thymidylate kinase","5","5","1","1","2942","","","","626","626","626","HM00108598_00164","HM00110618_00105","HL2074_02737","YA00082404_00109","EGD-e_02793"
"metN_2","","Methionine import ATP-binding protein MetN","5","5","1","1","3469","","","","1022","1097","1082","HM00108598_00889","HM00110618_02095","HL2074_02390","YA00082404_01192","EGD-e_02506"
"pdeG","","putative cyclic di-GMP phosphodiesterase PdeG","5","5","1","1","265","","","","683","683","683","HM00108598_00407","HM00110618_00769","HL2074_01923","YA00082404_00655","EGD-e_01972"
"resE","","Sensor histidine kinase ResE","5","5","1","1","231","","","","1790","1790","1790","HM00108598_00441","HM00110618_00735","HL2074_01956","YA00082404_00689","EGD-e_02005"
"ruvB_2","","Holliday junction ATP-dependent DNA helicase RuvB","5","5","1","1","2191","","","","1007","1007","1007","HM00108598_01036","HM00110618_01321","HL2074_00397","YA00082404_01972","EGD-e_01561"
"group_3083","","hypothetical protein","5","5","1","1","292","","","","545","545","545","HM00108598_00382","HM00110618_00281","HL2074_01898","YA00082404_00630","EGD-e_01947"
"group_3086","","5S ribosomal RNA","5","5","1","1","1259","","","","109","109","109","HM00108598_01550","HM00110618_01063","HL2074_01675","YA00082404_03061","EGD-e_00241"
"group_3087","","5S ribosomal RNA","5","5","1","1","2363","","","","109","109","109","HM00108598_02556","HM00110618_01927","HL2074_00226","YA00082404_02240","EGD-e_00229"
"group_309","","hypothetical protein","5","5","1","1","3472","","","","1076","1076","1076","HM00108598_00892","HM00110618_02098","HL2074_02387","YA00082404_01195","EGD-e_02503"
"czrA","","HTH-type transcriptional repressor CzrA","5","5","1","1","3392","","","","305","305","305","HM00108598_00812","HM00110618_00832","HL2074_02466","YA00082404_00750","EGD-e_02582"
"group_3093","","Putative two-component membrane permease complex subunit SMU_746c","5","5","1","1","1524","","","","839","839","839","HM00108598_00622","HM00110618_02135","HL2074_00999","YA00082404_00438","EGD-e_00943"
"group_3094","","hypothetical protein","5","5","1","1","955","","","","1760","1760","1760","HM00108598_01830","HM00110618_01783","HL2074_01433","YA00082404_01045","EGD-e_00509"
"adhE_3","","Aldehyde-alcohol dehydrogenase","5","5","1","1","1800","","","","1139","1139","1139","HM00108598_01170","HM00110618_01928","HL2074_00762","YA00082404_00922","EGD-e_01196"
"menA_2","","1,4-dihydroxy-2-naphthoate octaprenyltransferase","5","5","1","1","2347","","","","938","938","938","HM00108598_02583","HM00110618_01900","HL2074_00253","YA00082404_02267","EGD-e_01705"
"group_3097","","hypothetical protein","5","5","1","1","2304","","","","1067","1067","1067","HM00108598_00933","HM00110618_01107","HL2074_00292","YA00082404_01540","EGD-e_01666"
"group_3098","","hypothetical protein","5","5","1","1","990","","","","947","947","947","HM00108598_02791","HM00110618_02294","HL2074_01457","YA00082404_02586","EGD-e_00469"
"pbpB","","Penicillin-binding protein 2B","5","5","1","1","129","","","","2216","2216","2216","HM00108598_01373","HM00110618_00396","HL2074_02052","YA00082404_01904","EGD-e_02097"
"group_31","","hypothetical protein","5","5","1","1","1549","","","","227","227","227","HM00108598_00646","HM00110618_00519","HL2074_00973","YA00082404_00414","EGD-e_00968"
"group_310","","hypothetical protein","5","5","1","1","3479","","","","842","842","842","HM00108598_00899","HM00110618_02105","HL2074_02380","YA00082404_01202","EGD-e_02493"
"ydfJ","","Membrane protein YdfJ","5","5","1","1","3424","","","","2162","2162","2162","HM00108598_00843","HM00110618_00801","HL2074_02435","YA00082404_01146","EGD-e_02551"
"trmD","","tRNA (guanine-N(1)-)-methyltransferase","5","5","1","1","397","","","","737","737","737","HM00108598_00284","HM00110618_02639","HL2074_01802","YA00082404_00532","EGD-e_01849"
"mrpB","","Na(+)/H(+) antiporter subunit B","5","5","1","1","3506","","","","422","425","422","HM00108598_02877","HM00110618_02276","HL2074_02355","YA00082404_02941","EGD-e_02467"
"ftsZ","","Cell division protein FtsZ","5","5","1","1","136","","","","1175","1175","1175","HM00108598_01366","HM00110618_00403","HL2074_02045","YA00082404_01897","EGD-e_02090"
"pdxB","","Erythronate-4-phosphate dehydrogenase","5","5","1","1","2590","","","","1187","1187","1187","HM00108598_00033","HM00110618_00968","HL2074_02868","YA00082404_00240","EGD-e_02927"
"rimP","","Ribosome maturation factor RimP","5","5","1","1","1967","","","","467","467","467","HM00108598_01910","HM00110618_02377","HL2074_00609","YA00082404_01349","EGD-e_01349"
"group_3106","","tRNA-Asn(gtt)","5","5","1","1","3522","","","","75","75","75","HM00108598_02194","HM00110618_03017","HL2074_02336","YA00082404_02239","EGD-e_02448"
"map","","Methionine aminopeptidase 1","5","5","1","1","1280","","","","758","758","758","HM00108598_02630","HM00110618_01559","HL2074_01716","YA00082404_02514","EGD-e_01761"
"yutF","","Acid sugar phosphatase","5","5","1","1","3485","","","","767","767","767","HM00108598_00904","HM00110618_02110","HL2074_02375","YA00082404_01207","EGD-e_02488"
"kdsD","","Arabinose 5-phosphate isomerase KdsD","5","5","1","1","947","","","","602","602","602","HM00108598_01822","HM00110618_01775","HL2074_01424","YA00082404_01037","EGD-e_00518"
"megL","","L-methionine gamma-lyase","5","5","1","1","845","","","","1277","1277","1277","HM00108598_02041","HM00110618_02429","HL2074_01328","YA00082404_01766","EGD-e_00611"
"tetA_1","","Tetracycline resistance protein, class B","5","5","1","1","2499","","","","1208","1208","1208","HM00108598_00115","HM00110618_00154","HL2074_02785","YA00082404_00158","EGD-e_02841"
"parC","","DNA topoisomerase 4 subunit A","5","5","1","1","1927","","","","2459","2459","2459","HM00108598_01878","HM00110618_02388","HL2074_00643","YA00082404_02672","EGD-e_01315"
"group_3114","","hypothetical protein","5","5","1","1","2267","","","","524","524","524","HM00108598_00968","HM00110618_01072","HL2074_00327","YA00082404_01505","EGD-e_01631"
